Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.9673012845974
FDW14,OUT017,1579.5669672259064
NCN55,OUT010,1888.4458752488626
FDQ58,OUT017,2609.20405618941
FDY38,OUT027,5179.241121065501
FDH56,OUT046,1915.7052839511261
FDL48,OUT018,596.7610367279801
FDC48,OUT027,2777.789548002801
FDN33,OUT045,1510.397172441153
FDA36,OUT017,3079.19760073223
FDT44,OUT017,1997.2695719917037
FDQ56,OUT045,1306.7003035505622
NCC54,OUT019,1849.5189343044972
FDU11,OUT049,2045.755790049317
DRL59,OUT013,888.777520819471
FDM24,OUT049,2558.8110343930753
FDI57,OUT045,3088.6540742108286
DRC12,OUT018,2764.915424546672
NCM42,OUT027,3192.3827225673535
FDA46,OUT010,1133.743538987587
FDA31,OUT013,2798.8542297321246
NCJ31,OUT035,3878.479989105568
FDG52,OUT046,803.8601127649474
NCL19,OUT019,375.9787683211779
FDS10,OUT035,3027.526244851435
FDX22,OUT010,1448.8349348854624
NCF19,OUT035,915.0822849945507
NCE06,OUT046,2527.765549388664
DRC27,OUT046,3843.2295464828185
FDE21,OUT035,2025.2602179987216
NCR42,OUT019,-1357.6946553184612
FDX51,OUT018,2863.2089320678747
NCR06,OUT018,429.32644918664835
FDU31,OUT027,4940.1920584293775
FDU59,OUT017,2712.2837765220374
FDR03,OUT027,4767.58797198119
FDS49,OUT027,2760.6941617157236
FDD48,OUT010,-73.3477913814288
NCF18,OUT017,3110.868082751397
NCD43,OUT027,3099.591273236829
NCD54,OUT018,1989.8610004062543
FDY19,OUT010,-36.04133690541653
NCY54,OUT017,2810.976962129047
NCL19,OUT018,2023.1823068415565
FDP23,OUT010,1533.6223281658658
FDC26,OUT013,1818.0178582514695
FDR14,OUT010,-1039.9314521723613
NCS41,OUT035,3035.6906362497207
FDF41,OUT035,4041.83524356662
FDU34,OUT046,2002.551901528489
DRH11,OUT046,919.7504569356367
FDM03,OUT013,1764.0024870179682
FDS31,OUT017,3048.84559494222
FDJ20,OUT017,2092.0664303540607
FDV44,OUT027,4494.460427239767
FDG02,OUT049,3102.7438337017907
FDA09,OUT013,2910.764588248312
FDT04,OUT013,690.7720328024875
FDL58,OUT019,2294.303674358651
FDE52,OUT045,1455.7035732663032
FDW12,OUT035,2503.6910801043146
FDL51,OUT017,3549.1191835438685
NCY42,OUT027,3687.304951376783
FDR07,OUT017,1658.7093962966055
FDN40,OUT045,2374.3854108404316
FDB35,OUT027,2949.7623378197577
FDA22,OUT017,2742.228531791104
NCL06,OUT046,4110.957659727051
FDI35,OUT013,2917.437354915106
NCW42,OUT045,3411.822324025419
NCX06,OUT049,2934.672613185383
FDC37,OUT027,3192.95320292238
FDZ14,OUT018,1727.687971007373
DRG49,OUT049,3947.4633085326905
NCG06,OUT045,3959.963182469236
DRC36,OUT045,2721.484507362258
FDV21,OUT019,61.97144632474658
FDB53,OUT046,2359.191231246361
DRP47,OUT019,2042.1420162399863
FDA14,OUT013,2352.947626521728
DRC24,OUT035,2568.0006013858174
FDW21,OUT018,1414.1692320732955
NCH29,OUT046,1556.321966864099
FDU58,OUT013,3079.4335536685962
FDY27,OUT017,2946.072476465471
FDV56,OUT035,1948.6447177428363
FDT59,OUT046,3656.454266998813
FDB23,OUT046,3621.735273258707
FDR49,OUT045,698.2602316220962
FDB03,OUT010,1908.7089518902703
FDN39,OUT045,2617.7390868627617
FDX02,OUT027,4985.34839171404
FDQ16,OUT027,3188.5936343209846
FDU35,OUT018,1341.8795475534102
NCT29,OUT013,1957.466944558873
FDZ27,OUT046,830.0777243440755
FDN57,OUT017,2345.9116921897203
FDA03,OUT018,2099.152719468881
FDZ36,OUT045,2920.1493274501377
NCU05,OUT013,1322.247395160072
FDT39,OUT018,2179.9656657869573
FDK60,OUT017,1722.6726804548543
FDZ25,OUT017,2857.612021094592
FDG12,OUT046,2036.9079135297825
DRB01,OUT019,1127.1005809487915
NCC43,OUT027,5377.806086346046
FDX13,OUT019,2035.6644562238016
FDM22,OUT049,1028.2005763917089
FDJ03,OUT027,2306.346916066469
FDU14,OUT018,3678.0336421273805
FDB33,OUT010,624.8110181808524
FDP27,OUT046,3005.3169108349957
FDO38,OUT010,-669.6215326624031
FDE28,OUT027,5152.774374963681
FDO27,OUT035,1701.492846325309
DRL23,OUT027,3166.7043315737515
FDS28,OUT046,963.0156471210291
FDX24,OUT013,1547.6661749546624
FDZ02,OUT035,1746.6457939067122
FDL46,OUT045,1812.4698898608049
FDS60,OUT027,4294.955485328281
NCO06,OUT017,635.5946499375073
FDO16,OUT035,1527.674506377938
FDC60,OUT049,1538.2668802045105
FDA48,OUT018,3199.4591123177265
FDZ36,OUT027,4452.490701543944
FDK27,OUT045,1877.2684645859918
FDW23,OUT018,378.4221520760924
FDM14,OUT018,1509.8683124789895
FDM14,OUT013,1787.4073682777139
FDW60,OUT018,2603.2086008086644
FDE21,OUT013,1909.984115032063
NCM42,OUT035,1881.636491867785
FDY59,OUT010,-372.5128109212226
DRI49,OUT049,1380.8434459596042
FDT28,OUT019,510.4849502167194
FDQ22,OUT018,408.8120826753585
FDR60,OUT049,1335.143689977826
FDC50,OUT019,-393.31521059008844
FDV24,OUT013,2457.7358548514762
DRF48,OUT010,1026.4369606291368
FDQ47,OUT046,638.5711022636433
DRN36,OUT049,1662.9083885270989
NCY06,OUT035,2173.645645665496
FDE52,OUT035,1658.8367369360235
NCB54,OUT045,1936.763881114518
NCF31,OUT035,2548.2590130369736
FDJ08,OUT027,4448.189224442698
NCC07,OUT017,1786.8731860271896
NCD19,OUT027,2357.5274762768495
FDL46,OUT049,2012.1468868916245
FDM20,OUT045,3834.1590738617224
NCI06,OUT010,918.4707082195887
DRM11,OUT035,4219.636101524705
NCH07,OUT018,2205.8943138122413
FDS23,OUT013,2083.1318366233304
FDO49,OUT018,599.2386412632256
FDS35,OUT049,1164.1096930712763
