Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1154.6215
FDW14,OUT017,1473.8986
NCN55,OUT010,669.6922
FDQ58,OUT017,1387.1506
FDY38,OUT027,6817.088
FDH56,OUT046,1922.227
FDL48,OUT018,604.7197
FDC48,OUT027,1962.8137
FDN33,OUT045,990.9948
FDA36,OUT017,2299.392
FDT44,OUT017,1715.5774
FDQ56,OUT045,1439.9331
NCC54,OUT019,633.4958
FDU11,OUT049,1984.6199
DRL59,OUT013,755.6895
FDM24,OUT049,2478.6401
FDI57,OUT045,3452.1223
DRC12,OUT018,3135.7444
NCM42,OUT027,3290.3975
FDA46,OUT010,332.86932
FDA31,OUT013,3187.3022
NCJ31,OUT035,3436.6025
FDG52,OUT046,640.6785
NCL19,OUT019,451.55954
FDS10,OUT035,2634.9656
FDX22,OUT010,318.15445
NCF19,OUT035,502.55145
NCE06,OUT046,2149.6821
DRC27,OUT046,4337.8467
FDE21,OUT035,2167.6409
NCR42,OUT019,39.87595
FDX51,OUT018,1848.6465
NCR06,OUT018,515.60205
FDU31,OUT027,3826.1853
FDU59,OUT017,1719.859
FDR03,OUT027,4353.3438
FDS49,OUT027,2715.913
FDD48,OUT010,189.71857
NCF18,OUT017,2836.245
NCD43,OUT027,2161.601
NCD54,OUT018,1509.877
FDY19,OUT010,162.79549
NCY54,OUT017,2273.776
NCL19,OUT018,2475.8872
FDP23,OUT010,379.82083
FDC26,OUT013,1575.5156
FDR14,OUT010,201.04623
NCS41,OUT035,2494.0896
FDF41,OUT035,3692.993
FDU34,OUT046,2157.8442
DRH11,OUT046,878.10846
FDM03,OUT013,2413.4849
FDS31,OUT017,4301.4287
FDJ20,OUT017,1926.5957
FDV44,OUT027,5085.148
FDG02,OUT049,2787.2966
FDA09,OUT013,3865.1455
FDT04,OUT013,494.32227
FDL58,OUT019,419.0955
FDE52,OUT045,1758.9551
FDW12,OUT035,3084.7827
FDL51,OUT017,3277.4326
NCY42,OUT027,2857.4211
FDR07,OUT017,1581.7972
FDN40,OUT045,2403.9744
FDB35,OUT027,2742.1775
FDA22,OUT017,2816.8127
NCL06,OUT046,4871.5693
FDI35,OUT013,4406.139
NCW42,OUT045,4190.96
NCX06,OUT049,3577.0703
FDC37,OUT027,3035.033
FDZ14,OUT018,2420.6711
DRG49,OUT049,6375.1567
NCG06,OUT045,2549.4421
DRC36,OUT045,3240.8647
FDV21,OUT019,540.99286
FDB53,OUT046,3227.862
DRP47,OUT019,663.40173
FDA14,OUT013,2121.4658
DRC24,OUT035,2484.7815
FDW21,OUT018,1755.1038
NCH29,OUT046,1746.0035
FDU58,OUT013,3782.1826
FDY27,OUT017,1979.9801
FDV56,OUT035,1670.3922
FDT59,OUT046,3999.2637
FDB23,OUT046,3099.2598
FDR49,OUT045,912.9442
FDB03,OUT010,717.15436
FDN39,OUT045,3059.4111
FDX02,OUT027,5505.255
FDQ16,OUT027,2431.3372
FDU35,OUT018,1719.4972
NCT29,OUT013,1502.9337
FDZ27,OUT046,745.4128
FDN57,OUT017,4579.4976
FDA03,OUT018,2127.7546
FDZ36,OUT045,3554.348
NCU05,OUT013,1104.3878
FDT39,OUT018,2817.3896
FDK60,OUT017,1232.5052
FDZ25,OUT017,3376.1694
FDG12,OUT046,2411.3972
DRB01,OUT019,521.27673
NCC43,OUT027,5867.927
FDX13,OUT019,444.57956
FDM22,OUT049,1023.2884
FDJ03,OUT027,1056.4677
FDU14,OUT018,3262.1172
FDB33,OUT010,560.97296
FDP27,OUT046,3535.0369
FDO38,OUT010,173.94397
FDE28,OUT027,7106.2188
FDO27,OUT035,1691.1698
DRL23,OUT027,2384.4194
FDS28,OUT046,912.79663
FDX24,OUT013,1395.393
FDZ02,OUT035,961.2821
FDL46,OUT045,1632.0228
FDS60,OUT027,4229.3794
NCO06,OUT017,301.46674
FDO16,OUT035,1629.3364
FDC60,OUT049,1848.9584
FDA48,OUT018,5828.388
FDZ36,OUT027,5379.5947
FDK27,OUT045,1698.1852
FDW23,OUT018,574.192
FDM14,OUT018,1055.7723
FDM14,OUT013,881.2934
FDW60,OUT018,3106.6091
FDE21,OUT013,1415.6403
NCM42,OUT035,1581.5308
FDY59,OUT010,389.8334
DRI49,OUT049,1485.8247
FDT28,OUT019,178.44952
FDQ22,OUT018,351.10336
FDR60,OUT049,1060.6484
FDC50,OUT019,388.3168
FDV24,OUT013,2147.5183
DRF48,OUT010,548.6232
FDQ47,OUT046,861.66486
DRN36,OUT049,1395.8021
NCY06,OUT035,2973.6353
FDE52,OUT035,1954.7384
NCB54,OUT045,1154.8583
NCF31,OUT035,2301.799
FDJ08,OUT027,5396.8354
NCC07,OUT017,1395.4004
NCD19,OUT027,2034.2109
FDL46,OUT049,1937.9446
FDM20,OUT045,4727.269
NCI06,OUT010,362.80905
DRM11,OUT035,3986.0593
NCH07,OUT018,2514.4077
FDS23,OUT013,1877.3193
FDO49,OUT018,657.26117
FDS35,OUT049,984.4306
DRK39,OUT045,1486.929
DRI39,OUT049,875.395
FDV04,OUT017,1612.1133
NCN14,OUT035,1839.4388
FDH08,OUT013,3392.1506
FDS20,OUT046,3890.374
FDV40,OUT049,905.24756
FDZ48,OUT010,201.38838
FDS24,OUT027,2266.0732
FDK44,OUT049,1635.822
FDS48,OUT045,3096.5396
FDK26,OUT010,783.9134
FDD23,OUT045,4091.1204
NCH54,OUT017,2731.799
NCP14,OUT010,211.66994
FDM60,OUT010,78.0988
FDV24,OUT017,2291.9
FDH08,OUT018,2987.7942
FDS12,OUT027,3258.1108
FDR39,OUT027,4301.4307
FDP12,OUT027,1011.42664
DRF60,OUT027,3833.2712
FDC09,OUT035,1624.5458
FDF50,OUT018,3265.0205
FDG28,OUT035,3685.7124
NCE19,OUT017,649.76086
NCM53,OUT010,194.98943
NCN18,OUT049,2010.4395
FDF32,OUT035,3277.2783
FDF11,OUT013,2522.4397
DRI59,OUT049,5057.641
NCG54,OUT035,2478.4626
FDM44,OUT046,1592.6598
FDT57,OUT018,2118.2793
FDV24,OUT046,2168.7097
FDI50,OUT019,337.8646
FDS09,OUT035,767.4773
NCC31,OUT027,3326.0906
FDQ07,OUT019,789.699
FDC22,OUT017,2949.8809
FDZ56,OUT046,2430.4453
FDZ40,OUT019,236.8342
FDS46,OUT027,1949.307
DRD24,OUT045,1870.1714
FDV45,OUT017,3437.4258
FDL26,OUT045,3953.865
FDA56,OUT018,1337.8707
FDN27,OUT046,1945.4093
FDM20,OUT049,5476.9917
FDO16,OUT017,2433.448
FDL03,OUT035,3446.9026
FDE58,OUT046,2154.9482
FDI02,OUT027,3423.6445
NCC55,OUT019,47.0513
FDR03,OUT018,3093.8835
FDB14,OUT017,1559.7142
FDR45,OUT013,4804.937
NCN07,OUT017,2824.8096
FDM51,OUT019,298.50543
FDT52,OUT027,8142.3086
