Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1655.3219
FDW14,OUT017,1355.5681
NCN55,OUT010,655.99554
FDQ58,OUT017,2444.2407
FDY38,OUT027,6072.196
FDH56,OUT046,1877.613
FDL48,OUT018,657.8051
FDC48,OUT027,2116.1868
FDN33,OUT045,1501.8339
FDA36,OUT017,3103.7322
FDT44,OUT017,1938.8147
FDQ56,OUT045,1368.7129
NCC54,OUT019,690.9559
FDU11,OUT049,2054.3948
DRL59,OUT013,763.78644
FDM24,OUT049,2331.546
FDI57,OUT045,3009.6777
DRC12,OUT018,2905.1748
NCM42,OUT027,2788.6172
FDA46,OUT010,523.27313
FDA31,OUT013,2849.0862
NCJ31,OUT035,3950.5842
FDG52,OUT046,786.2004
NCL19,OUT019,360.17606
FDS10,OUT035,3017.693
FDX22,OUT010,591.2587
NCF19,OUT035,788.23615
NCE06,OUT046,2572.0444
DRC27,OUT046,3802.4082
FDE21,OUT035,1990.4346
NCR42,OUT019,134.57793
FDX51,OUT018,2859.7668
NCR06,OUT018,544.32385
FDU31,OUT027,5303.989
FDU59,OUT017,2526.5544
FDR03,OUT027,5352.8887
FDS49,OUT027,2265.131
FDD48,OUT010,299.7764
NCF18,OUT017,3103.7336
NCD43,OUT027,2530.8628
NCD54,OUT018,1760.1985
FDY19,OUT010,267.4925
NCY54,OUT017,2834.921
NCL19,OUT018,2212.3354
FDP23,OUT010,498.19037
FDC26,OUT013,1760.9205
FDR14,OUT010,182.1462
NCS41,OUT035,3211.6846
FDF41,OUT035,3968.5276
FDU34,OUT046,2026.1848
DRH11,OUT046,938.9731
FDM03,OUT013,1735.3721
FDS31,OUT017,3155.6292
FDJ20,OUT017,1997.7799
FDV44,OUT027,5259.268
FDG02,OUT049,2982.0552
FDA09,OUT013,3030.8032
FDT04,OUT013,625.24347
FDL58,OUT019,658.5446
FDE52,OUT045,1367.8627
FDW12,OUT035,2458.2708
FDL51,OUT017,3501.9202
NCY42,OUT027,3246.5098
FDR07,OUT017,1551.5625
FDN40,OUT045,2256.8408
FDB35,OUT027,2490.8237
FDA22,OUT017,2576.6387
NCL06,OUT046,4031.0088
FDI35,OUT013,3162.7646
NCW42,OUT045,3569.0234
NCX06,OUT049,3065.1487
FDC37,OUT027,2744.415
FDZ14,OUT018,1773.3063
DRG49,OUT049,4026.3826
NCG06,OUT045,3816.4639
DRC36,OUT045,2844.2463
FDV21,OUT019,347.48294
FDB53,OUT046,2506.3464
DRP47,OUT019,654.0186
FDA14,OUT013,2486.1533
DRC24,OUT035,2538.3657
FDW21,OUT018,1475.2682
NCH29,OUT046,1648.1367
FDU58,OUT013,3129.1292
FDY27,OUT017,2883.7437
FDV56,OUT035,1750.3109
FDT59,OUT046,3941.522
FDB23,OUT046,3452.897
FDR49,OUT045,754.80286
FDB03,OUT010,681.59845
FDN39,OUT045,2663.023
FDX02,OUT027,5837.2725
FDQ16,OUT027,2576.224
FDU35,OUT018,1432.2198
NCT29,OUT013,2009.937
FDZ27,OUT046,746.5944
FDN57,OUT017,2230.2078
FDA03,OUT018,2135.7512
FDZ36,OUT045,3035.4502
NCU05,OUT013,1225.9681
FDT39,OUT018,2111.3516
FDK60,OUT017,1544.0099
FDZ25,OUT017,2805.647
FDG12,OUT046,2124.2947
DRB01,OUT019,442.16257
NCC43,OUT027,6255.8555
FDX13,OUT019,527.9441
FDM22,OUT049,866.8649
FDJ03,OUT027,1345.5065
FDU14,OUT018,3597.5095
FDB33,OUT010,463.26486
FDP27,OUT046,3242.464
FDO38,OUT010,213.88145
FDE28,OUT027,6273.8423
FDO27,OUT035,1568.2195
DRL23,OUT027,2465.0835
FDS28,OUT046,888.1213
FDX24,OUT013,1439.8517
FDZ02,OUT035,1566.3202
FDL46,OUT045,1782.0016
FDS60,OUT027,5276.289
NCO06,OUT017,636.23035
FDO16,OUT035,1484.8488
FDC60,OUT049,1574.2676
FDA48,OUT018,3468.2627
FDZ36,OUT027,4920.664
FDK27,OUT045,1977.4949
FDW23,OUT018,543.9268
FDM14,OUT018,1496.1891
FDM14,OUT013,1685.9332
FDW60,OUT018,2648.3875
FDE21,OUT013,1912.3175
NCM42,OUT035,1748.5211
FDY59,OUT010,264.63895
DRI49,OUT049,1285.4154
FDT28,OUT019,379.22552
FDQ22,OUT018,518.4311
FDR60,OUT049,1280.7871
FDC50,OUT019,283.1952
FDV24,OUT013,2339.2446
DRF48,OUT010,630.6467
FDQ47,OUT046,726.27856
DRN36,OUT049,1561.3368
NCY06,OUT035,2103.7827
FDE52,OUT035,1432.5126
NCB54,OUT045,1958.4706
NCF31,OUT035,2432.3875
FDJ08,OUT027,4940.1577
NCC07,OUT017,1657.8987
NCD19,OUT027,1543.5784
FDL46,OUT049,1932.3246
FDM20,OUT045,3844.6
NCI06,OUT010,454.82828
DRM11,OUT035,4407.496
NCH07,OUT018,2344.5386
FDS23,OUT013,2082.127
FDO49,OUT018,679.02997
FDS35,OUT049,1070.4598
DRK39,OUT045,1309.4739
