Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.9996263631979
FDW14,OUT017,1579.625302777646
NCN55,OUT010,1888.446600913774
FDQ58,OUT017,2609.3137272366153
FDY38,OUT027,5179.228541181571
FDH56,OUT046,1915.703471595929
FDL48,OUT018,596.7354505402332
FDC48,OUT027,2777.8289439134096
FDN33,OUT045,1510.3662875297046
FDA36,OUT017,3079.223224562979
FDT44,OUT017,1997.2632212322883
FDQ56,OUT045,1306.6609009702297
NCC54,OUT019,1849.418380433296
FDU11,OUT049,2045.7043562679087
DRL59,OUT013,888.7774636643624
FDM24,OUT049,2558.8073894987037
FDI57,OUT045,3088.6609293877814
DRC12,OUT018,2764.927186983662
NCM42,OUT027,3192.4117716776473
FDA46,OUT010,1133.6542605248787
FDA31,OUT013,2798.8125418091336
NCJ31,OUT035,3878.410998597341
FDG52,OUT046,803.8870760581826
NCL19,OUT019,376.01724971945714
FDS10,OUT035,3027.5662677338237
FDX22,OUT010,1448.8065604230742
NCF19,OUT035,915.0755485850088
NCE06,OUT046,2527.7429303384333
DRC27,OUT046,3843.2279701737434
FDE21,OUT035,2025.2862599915074
NCR42,OUT019,-1357.706905838572
FDX51,OUT018,2863.21514483639
NCR06,OUT018,429.3509394581647
FDU31,OUT027,4940.216761876463
FDU59,OUT017,2712.2801757997863
FDR03,OUT027,4767.686665185405
FDS49,OUT027,2760.725986472512
FDD48,OUT010,-73.3609065610222
NCF18,OUT017,3110.833640587493
NCD43,OUT027,3099.634036517419
NCD54,OUT018,1989.856349520981
FDY19,OUT010,-36.06339587891944
NCY54,OUT017,2810.9080571543404
NCL19,OUT018,2023.2093677862913
FDP23,OUT010,1533.6166043585026
FDC26,OUT013,1817.9674511371923
FDR14,OUT010,-1040.0940098916435
NCS41,OUT035,3035.720702435647
FDF41,OUT035,4041.7847475786075
FDU34,OUT046,2002.5747895507893
DRH11,OUT046,919.7377052008537
FDM03,OUT013,1764.0522299698132
FDS31,OUT017,3048.9414520991136
FDJ20,OUT017,2092.0319993555945
FDV44,OUT027,4494.507284749437
FDG02,OUT049,3102.747648811818
FDA09,OUT013,2910.7236559758007
FDT04,OUT013,690.7840585876147
FDL58,OUT019,2294.266179405701
FDE52,OUT045,1455.7573488698458
FDW12,OUT035,2503.7110938889705
FDL51,OUT017,3549.124949897032
NCY42,OUT027,3687.339329815448
FDR07,OUT017,1658.6860659530976
FDN40,OUT045,2374.4085352650077
FDB35,OUT027,2949.765633516444
FDA22,OUT017,2742.2405489305715
NCL06,OUT046,4110.960229322839
FDI35,OUT013,2917.4494869347304
NCW42,OUT045,3411.8113769746574
NCX06,OUT049,2934.6577965673564
FDC37,OUT027,3192.9728829592877
FDZ14,OUT018,1727.6782435077093
DRG49,OUT049,3947.422877724849
NCG06,OUT045,3959.977523651086
DRC36,OUT045,2721.482650717269
FDV21,OUT019,61.84345548915826
FDB53,OUT046,2359.1871189213307
DRP47,OUT019,2042.039993784033
FDA14,OUT013,2352.954270401319
DRC24,OUT035,2568.0142576781113
FDW21,OUT018,1414.2307356969793
NCH29,OUT046,1556.366456715502
FDU58,OUT013,3079.46140831155
FDY27,OUT017,2946.13832891191
FDV56,OUT035,1948.6696161737223
FDT59,OUT046,3656.4986980289677
FDB23,OUT046,3621.786301970992
FDR49,OUT045,698.2293255207283
FDB03,OUT010,1908.5640273229392
FDN39,OUT045,2617.7489636728064
FDX02,OUT027,4985.38654793183
FDQ16,OUT027,3188.620677298837
FDU35,OUT018,1341.9136361211338
NCT29,OUT013,1957.4402211813394
FDZ27,OUT046,830.1602370792725
