Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1731.419
FDW14,OUT017,1356.1539
NCN55,OUT010,613.8796
FDQ58,OUT017,2359.4963
FDY38,OUT027,6163.916
FDH56,OUT046,1687.4131
FDL48,OUT018,601.1494
FDC48,OUT027,2158.1213
FDN33,OUT045,1509.8896
FDA36,OUT017,3219.0771
FDT44,OUT017,1966.4072
FDQ56,OUT045,1388.7451
NCC54,OUT019,625.2829
FDU11,OUT049,2139.1775
DRL59,OUT013,710.7223
FDM24,OUT049,2283.4749
FDI57,OUT045,3202.641
DRC12,OUT018,2925.5493
NCM42,OUT027,2722.9092
FDA46,OUT010,506.3027
FDA31,OUT013,2840.4714
NCJ31,OUT035,3799.0176
FDG52,OUT046,769.7796
NCL19,OUT019,372.6884
FDS10,OUT035,2639.802
FDX22,OUT010,566.1403
NCF19,OUT035,695.69574
NCE06,OUT046,2519.6633
DRC27,OUT046,3770.6465
FDE21,OUT035,2208.2124
NCR42,OUT019,74.21969
FDX51,OUT018,2850.7578
NCR06,OUT018,517.098
FDU31,OUT027,5378.2896
FDU59,OUT017,2488.6099
FDR03,OUT027,5449.3604
FDS49,OUT027,2319.3577
FDD48,OUT010,278.485
NCF18,OUT017,3040.8188
NCD43,OUT027,2513.616
NCD54,OUT018,1609.906
FDY19,OUT010,221.9431
NCY54,OUT017,2832.9956
NCL19,OUT018,2239.9316
FDP23,OUT010,526.55865
FDC26,OUT013,1736.5133
FDR14,OUT010,146.79243
NCS41,OUT035,3040.4424
FDF41,OUT035,3977.3882
FDU34,OUT046,1993.4686
DRH11,OUT046,1048.0287
FDM03,OUT013,1747.5236
FDS31,OUT017,3117.263
FDJ20,OUT017,1863.204
FDV44,OUT027,5181.6606
FDG02,OUT049,2769.5684
FDA09,OUT013,3092.944
FDT04,OUT013,602.27924
FDL58,OUT019,450.42426
FDE52,OUT045,1362.3683
FDW12,OUT035,2379.0903
FDL51,OUT017,3434.4985
NCY42,OUT027,3252.287
FDR07,OUT017,1537.7411
FDN40,OUT045,2179.91
FDB35,OUT027,2431.2917
FDA22,OUT017,2528.0483
NCL06,OUT046,3959.4087
FDI35,OUT013,3172.0657
NCW42,OUT045,3621.745
NCX06,OUT049,3126.0598
FDC37,OUT027,2719.1375
FDZ14,OUT018,1810.178
DRG49,OUT049,4043.2292
NCG06,OUT045,3440.8352
DRC36,OUT045,2797.1035
FDV21,OUT019,333.63785
FDB53,OUT046,2573.474
DRP47,OUT019,626.7612
FDA14,OUT013,2490.3638
DRC24,OUT035,2699.192
FDW21,OUT018,1455.9989
NCH29,OUT046,1800.883
FDU58,OUT013,3077.8298
FDY27,OUT017,2878.3848
FDV56,OUT035,1758.5319
FDT59,OUT046,3869.6663
FDB23,OUT046,3186.7534
FDR49,OUT045,731.43256
FDB03,OUT010,670.91016
FDN39,OUT045,2650.6587
FDX02,OUT027,5958.9194
FDQ16,OUT027,2450.7537
FDU35,OUT018,1440.6543
NCT29,OUT013,1980.5815
FDZ27,OUT046,737.74774
FDN57,OUT017,2182.5684
FDA03,OUT018,2106.9446
FDZ36,OUT045,3030.02
NCU05,OUT013,1121.5565
FDT39,OUT018,1913.0936
FDK60,OUT017,1542.4445
FDZ25,OUT017,2862.5818
FDG12,OUT046,2221.9106
DRB01,OUT019,440.9527
NCC43,OUT027,6273.203
FDX13,OUT019,439.5071
FDM22,OUT049,866.19635
FDJ03,OUT027,1413.1545
FDU14,OUT018,3690.6973
FDB33,OUT010,427.72708
FDP27,OUT046,3537.1257
FDO38,OUT010,190.27048
FDE28,OUT027,6295.8916
FDO27,OUT035,1555.7198
DRL23,OUT027,2513.6482
FDS28,OUT046,895.28217
FDX24,OUT013,1411.995
FDZ02,OUT035,1537.8956
FDL46,OUT045,1622.3201
FDS60,OUT027,5289.1196
NCO06,OUT017,553.00116
FDO16,OUT035,1565.2274
FDC60,OUT049,1775.2074
FDA48,OUT018,3582.0212
FDZ36,OUT027,4786.167
FDK27,OUT045,1915.9221
FDW23,OUT018,494.98126
FDM14,OUT018,1494.3745
FDM14,OUT013,1702.3383
FDW60,OUT018,2517.4756
FDE21,OUT013,1984.005
NCM42,OUT035,1697.829
FDY59,OUT010,243.08887
DRI49,OUT049,1306.511
FDT28,OUT019,374.9919
FDQ22,OUT018,465.93808
FDR60,OUT049,1276.9141
FDC50,OUT019,255.36118
FDV24,OUT013,2230.1445
